date,prices,market_caps,total_volumes
2020-02-25,0.000556759923108335,11518512.642070955,1038257.1889999952
2020-02-26,0.0005128448684025129,10649462.880840296,859087.1995417835
2020-02-27,0.0004462838046287851,9337977.314068105,816351.2508178178
2020-02-28,0.0004568758175637074,9502690.80126246,845868.6210151673
2020-02-29,0.00045783634589026927,9595291.91480982,808832.3626532736
2020-03-01,0.00044437461464267685,9355622.625834195,920402.7756114764
2020-03-02,0.00042878437811095876,8988899.682753079,877159.3587422359
2020-03-03,0.00046282964421337345,9646383.506608013,1234776.7535223316
2020-03-04,0.00045355969972462235,9531821.333690729,1262278.2514936174
2020-03-05,0.00047413494477523767,9975838.593462294,1264772.1493965548
2020-03-06,0.0004893289196378613,10321851.749825086,1007791.0206840971
2020-03-07,0.0004976687925769507,10516601.784776213,921647.2698046059
2020-03-08,0.0004723362807048,10007786.37182228,948276.7661603779
2020-03-09,0.00038581468049026895,8376060.256982951,711544.5195421673
2020-03-10,0.0003806204880857681,8046977.005965221,700800.7322791817
2020-03-11,0.00037185342539297037,8051016.150577853,664179.3918495456
2020-03-12,0.00035699748673160485,7687725.85855699,692574.6018990967
2020-03-13,0.00019954063310274092,4169039.7854604,357306.10843855276
2020-03-14,0.0002232826939419136,4771207.399936053,202370.6091922095
2020-03-15,0.00019619478925125022,4278587.500606399,100205.07494531201
2020-03-16,0.00019496139335880156,4180389.2849203013,102589.30422380136
2020-03-17,0.00016614091938389492,3613584.717222495,353879.3852971828
2020-03-18,0.00018675719482522758,3950218.9447279186,404610.89739671885
2020-03-19,0.00018400296240920772,3951725.7414429826,408810.4260447581
2020-03-20,0.00021048903612288798,4620764.068526402,479231.5969888499
2020-03-21,0.0002066024634128549,4400378.055584862,416892.71663002117
2020-03-22,0.00020720057081902317,4462975.108938738,446858.81252421474
2020-03-23,0.00019047095034793773,4105661.9994830578,372955.42005985265
2020-03-24,0.00020365081396165672,4384280.448233538,423612.30730230873
2020-03-25,0.00021565521642110275,4668203.785182052,402439.6887801613
2020-03-26,0.00021271354339019076,4628604.430661087,391867.4301588203
2020-03-27,0.00021750632533767148,4739557.908732332,487361.16166006145
2020-03-28,0.00024582330935384115,5460439.883538906,588615.234643812
2020-03-29,0.00025079459264295065,5473284.511314674,276821.6176978188
2020-03-30,0.00024053035112509978,5308805.374252433,259016.20580161363
2020-03-31,0.0002757490416247942,6098382.586758533,221476.1573122805
2020-04-01,0.00029904750623717386,6565292.454530803,515592.1745423439
2020-04-02,0.0003046872442869888,6699032.46023202,525560.3837402777
2020-04-03,0.0003109833397032127,6848772.921141868,427304.10552508815
2020-04-04,0.00030938280783947975,6827016.27570008,421318.7101206767
2020-04-05,0.00031892266141260054,7064964.378120669,459523.62805634836
2020-04-06,0.0003127949550444083,6933068.322109686,398065.6274554006
2020-04-07,0.000345968936061788,7761559.070643604,443968.0542368347
2020-04-08,0.000336090548278765,7458195.299275071,513161.5120989977
2020-04-09,0.00033430035680135945,7459677.682866072,511163.83365928516
2020-04-10,0.00033055880624097443,7390780.976779445,482851.56335520133
2020-04-11,0.0002995545081698066,6668843.3358849,469000.97599752544
2020-04-12,0.00030544413055324306,6785165.707242519,559626.69094521
2020-04-13,0.0002980040934779343,6671434.6274356255,480793.82878659543
2020-04-14,0.0002966225773119244,6674460.56215755,428219.3770346071
2020-04-15,0.0002941977905712515,6651786.188666975,476878.8853841728
2020-04-16,0.0002856197708061705,6464786.895929576,398540.50878029806
2020-04-17,0.00030439738658817524,6913748.84226439,469620.18277748534
2020-04-18,0.0003006200318374937,6808083.9392805565,516871.97011889087
2020-04-19,0.00030336742810003076,6830540.85632838,427716.37632398226
