date,prices,market_caps,total_volumes
2020-08-11,1.5709898771711353,48211542.65278695,241320442.37652075
2020-08-12,1.5709898771711353,48211542.65278695,241320442.37652075
2020-08-13,1.694211896926838,84749525.40128595,341752769.68344307
2020-08-14,2.004176253429508,100355596.86303297,185032077.39669988
2020-08-15,1.861898084067476,93098042.2120643,79136749.46819614
2020-08-16,1.663207840888923,83148205.4144871,52539157.918047816
2020-08-17,1.7310434783355535,86210274.71510614,49367938.85923627
2020-08-18,1.6451479928750254,82362355.47765715,29941852.282961
2020-08-19,1.677687103362159,83661272.0939349,43409369.60073736
2020-08-20,1.5975768883869463,79783855.97858295,30239035.047330048
2020-08-21,1.7741395858687148,88827018.99031796,29323010.529023778
2020-08-22,1.5376198985619465,77065849.28892945,30630498.59932649
2020-08-23,1.5436315860971626,77153944.33729985,21641188.283368137
2020-08-24,1.5330167162637305,76632421.5775143,19128239.17057897
2020-08-25,1.8309444611196408,91404702.117097,75804699.7191451
2020-08-26,1.6736388362164136,83649170.75974765,36345506.08135016
2020-08-27,2.07001195644708,103646120.98875085,75957841.38047922
2020-08-28,2.5438774256867944,126505457.6056463,295443938.73952776
2020-08-29,2.423528148910147,121613347.8729129,234579701.747137
2020-08-30,2.86623935439786,144882705.5973504,210635101.911558
2020-08-31,2.880482208249942,144116764.00718844,205666932.62761492
2020-09-01,3.4008637286797967,170179911.0358672,198922061.99524453
2020-09-02,3.1343667391317016,157414198.3360344,250092571.25934845
2020-09-03,3.624082342954862,180971968.40619355,226956944.38653016
2020-09-04,2.883877223035585,145407494.2012052,156688972.89649427
2020-09-05,2.897334424556605,144406154.65562126,125133160.78977048
2020-09-06,2.2100294842498167,110146931.5639742,280406067.32274514
2020-09-07,2.6134489012456914,130087004.6273497,302300956.5349407
2020-09-08,2.414113056034509,121212899.73013546,309837813.4099432
2020-09-09,2.141440754501656,106556252.36693954,303628593.69932336
2020-09-10,2.449360732381612,122627036.63516717,314647821.1330281
2020-09-11,2.2915729712095225,114979845.7970471,248905472.3985796
2020-09-12,2.371776338284159,118584879.8170733,287675694.7775301
2020-09-13,2.3995029302660744,120180679.1037417,183845699.65892687
2020-09-14,2.3770128782575832,117539582.2760005,370443430.1649763
2020-09-15,2.3961941126220103,119809705.6311005,324155367.12276644
2020-09-16,2.0422263264297924,101725218.6281024,303767003.5970497
2020-09-17,1.8350874388917384,91739393.0843705,121460843.4064158
2020-09-18,1.940610468959272,96937092.5195412,76071403.71951608
2020-09-19,2.088591506874148,103477719.92325164,110960471.69361196
2020-09-20,2.013562500121331,100704047.63369416,60630937.63244756
2020-09-21,1.8850669618665328,94423541.70566323,51876862.93217669
2020-09-22,1.7345663830093856,87772510.7226962,98509980.78619444
2020-09-23,1.864735881858318,93125905.0484006,55755041.88571179
2020-09-24,1.7481692586613344,87914727.71703425,50214255.44236901
2020-09-25,1.9738687413013696,98726543.26440395,52034122.10717607
2020-09-26,1.972673528003527,98557802.5735363,74141377.50203414
2020-09-27,1.9009009645134265,95034598.4400214,38639723.04009073
2020-09-28,1.8797097465698605,93816211.5978433,28283404.55492636
2020-09-29,1.7784983961554364,88537807.4429899,28065573.20257059
2020-09-30,1.7771557231171895,88903916.8955498,26328479.288813427
2020-10-01,1.8439090134684109,92211833.9552588,37769315.12985012
2020-10-02,1.778710326975624,88902201.31098676,52758078.32451206
2020-10-03,1.6507460244238574,82016316.6832098,47155221.60670443
2020-10-04,1.5825916834635148,79725694.2444689,22356611.383028645
2020-10-05,1.5863452994979843,79584495.7354099,25725443.159734305
2020-10-06,1.55125925793456,76795241.56561714,27395005.94456459
2020-10-07,1.1530393855283687,57611574.8798721,47318730.754689656
2020-10-08,1.235352362291783,61791820.1055396,63079359.1375766
2020-10-09,1.2609661914242685,62869388.37086985,40741486.36565019
2020-10-10,1.3662492377749953,68277019.35355595,41401081.99368622
2020-10-11,1.258301414733456,63000854.01106295,26585074.081974503
2020-10-12,1.2890556464466332,64426973.4696338,29340920.46372217
2020-10-13,1.3136106838206216,65652204.4020014,29692073.88114593
2020-10-14,1.3360108260592374,66831654.66586695,21400946.718045
2020-10-15,1.368994330309978,68431220.0294196,29486808.99588104
2020-10-16,1.40070580872233,69984224.885597,68457234.32106319
2020-10-17,1.278198763646008,64002439.7947151,24652386.67394082
2020-10-18,1.282034777503239,64087872.8732447,22921635.162411507
2020-10-19,1.29508798572981,64731282.3799956,15320484.38332156
2020-10-20,1.185631098766805,59173024.05489275,18799768.434842423
2020-10-21,1.0427325264882723,52105498.53863435,21555740.107695825
2020-10-22,1.0984426952158712,54699361.22238245,26907947.843621057
2020-10-23,1.1135251104667274,55575631.60441725,15980874.360772436
2020-10-24,1.066778301335391,53312425.1450125,19742115.915167306
2020-10-25,1.0529074293521303,52675113.939847,14324313.771175737
2020-10-26,1.096302637884165,54824260.13172465,29618473.025155514
2020-10-27,1.0342368669575073,51617742.24493865,40451689.14870101
2020-10-28,1.1046322398489974,55117342.17925405,49125062.5049874
2020-10-29,1.0049696994576625,50229095.4848948,44978014.75573738
2020-10-30,1.0246743810858474,51360825.11369465,38535083.27465802
2020-10-31,0.9901350149577428,49516184.32006668,24954742.696189985
2020-11-01,0.9755681733737588,48806184.62173049,14180362.812726395
2020-11-02,0.9808411226747528,48987500.57948872,12906800.372733103
2020-11-03,0.9432145015610596,47232416.7009185,13623675.290261293
2020-11-04,0.8551716375268149,42658968.7992432,18400542.49965169
2020-11-05,0.8283504223961895,41387098.32295144,15663989.956553308
2020-11-06,0.8659563673303671,43244531.15724563,16289245.269756628
2020-11-07,0.9903041894823568,49485916.49444955,20478540.99299193
2020-11-08,1.0749412167099666,53819355.49223245,50101997.13229411
2020-11-09,1.1186824286760242,55973662.62364705,23044912.627336416
2020-11-10,1.028556907280762,51415331.58887195,19403214.20381866
2020-11-11,1.177606153287713,58624817.5833179,32059750.638937265
2020-11-12,1.0980668011341996,54834192.8512208,29418496.38052204
2020-11-13,1.0342062207773446,51703873.9536429,25547129.714412663
2020-11-14,1.0697551817016306,53260457.1924953,24628077.073320184
2020-11-15,1.0360816981715042,51814367.39212185,30318653.57656885
2020-11-16,1.1810194806284435,59013511.29603875,43169318.94353528
2020-11-17,1.264414441968746,63470108.06201955,72109635.70909442
2020-11-18,1.2393982022737349,61950090.26972525,47123432.05998143
2020-11-19,1.1314398264721597,56706178.0742943,35231246.132929094
2020-11-20,1.1129523768627982,55624143.29783375,28379246.34330841
2020-11-21,1.1398020595105134,57245005.2108422,30589708.831197727
2020-11-22,1.253612572823125,62558906.6391318,43630968.41808081
2020-11-23,1.1866783035997508,59650285.922435,43671004.4385232
2020-11-24,1.2793623305105346,63596869.51708145,56115231.77054832
